userName,score,at,content;;;;;;;
Pengguna Google,4,2021-10-22 16:09:38,belanja mudah transaksi cepat;;;;;;;
Pengguna Google,5,2021-10-22 16:06:33,Super profesional 😊;;;;;;;
Pengguna Google,5,2021-10-22 16:06:09,Alhamdulilah Tokopedia kerenz;;;;;;;
Pengguna Google,5,2021-10-22 16:02:56,Mantaap;;;;;;;
"Pengguna Google,4,2021-10-22 15:58:20,""makin Sukses, waralaba via daring tingkatkan trs""";;;;;;;
Pengguna Google,5,2021-10-22 15:57:34,aplikasi yg sangat bagus;;;;;;;
"Pengguna Google,5,2021-10-22 15:57:28,""Belanja ditoko pedia senang,Pembeli bisa pilih exspedisi sendiri.pertahankan bebas ongkirnya toko pedia.🤗""";;;;;;;
Pengguna Google,4,2021-10-22 15:55:05,mantaapp pokok nya 😊;;;;;;;
Pengguna Google,5,2021-10-22 15:54:45,Badus deh;;;;;;;
Pengguna Google,4,2021-10-22 15:52:45,Ok membantu klo bisa minta yg cod;;;;;;;
Pengguna Google,5,2021-10-22 15:52:43,bagus sekali;;;;;;;
Pengguna Google,5,2021-10-22 15:50:09,Ga bisa di update napa ya;;;;;;;
Pengguna Google,4,2021-10-22 15:50:01,Mantab;;;;;;;
Pengguna Google,5,2021-10-22 15:48:23,Ok;;;;;;;
Pengguna Google,5,2021-10-22 15:47:26,Good;;;;;;;
Pengguna Google,5,2021-10-22 15:42:14,luppp toped;;;;;;;
Pengguna Google,5,2021-10-22 15:40:28,The best lah ni apk!;;;;;;;
Pengguna Google,2,2021-10-22 15:40:08,bagus;;;;;;;
Pengguna Google,5,2021-10-22 15:38:10,terima kasih;;;;;;;
Pengguna Google,5,2021-10-22 15:37:31,Oke;;;;;;;
"Pengguna Google,5,2021-10-22 15:37:05,""Tokopedia lebih bagus dari pada shoppe,,orang pada gk tau ,mana yg dapat chasbak banyak""";;;;;;;
Pengguna Google,4,2021-10-22 15:35:20,memuaskan;;;;;;;
Pengguna Google,4,2021-10-22 15:34:54,Sangat Bagus;;;;;;;
Pengguna Google,5,2021-10-22 15:33:55,Menurut saya tak ada aplikasi market place sehebat ini.yg mendukung para usahawan dari pelosok sampai ke kota.yg lain mah masih mendukung import.;;;;;;;
Pengguna Google,5,2021-10-22 15:30:04,mantaaaab banget nih;;;;;;;
"Pengguna Google,2,2021-10-22 15:29:42,""Metode pengembalian dana Tokopedia perlu ditingkatkan, dimana dana yang dikembalikan perlu ditransfer ke rekening dulu, akan lebih memudahkan ketika dana tersebut bisa langsung digunakan""";;;;;;;
Pengguna Google,5,2021-10-22 15:27:38,Belanja mudah hanya di Tokopedia;;;;;;;
Pengguna Google,5,2021-10-22 15:26:04,mantap;;;;;;;
Pengguna Google,5,2021-10-22 15:25:30,meenit anjirr;;;;;;;
Pengguna Google,5,2021-10-22 15:25:10,Good;;;;;;;
Pengguna Google,1,2021-10-22 15:23:28,Blom pernah;;;;;;;
Pengguna Google,5,2021-10-22 15:22:33,baguusss;;;;;;;
Pengguna Google,5,2021-10-22 15:22:17,Aplikasi bagus & mudah penggunaannya.;;;;;;;
Pengguna Google,5,2021-10-22 15:20:43,selalu gratis ongkir.... mantab....;;;;;;;
"Pengguna Google,5,2021-10-22 15:19:41,""Good app, semakin baik buat kedepannya ya....""";;;;;;;
Pengguna Google,4,2021-10-22 15:18:48,Smoga amanah ya;;;;;;;
Pengguna Google,5,2021-10-22 15:17:48,ok;;;;;;;
"Pengguna Google,5,2021-10-22 15:17:20,""Mantap dan akurat,, tks Toped ku""";;;;;;;
Pengguna Google,5,2021-10-22 15:17:10,tokopedia mantaaaap... bebas ongkir lg... mksih tokopedia😊;;;;;;;
Pengguna Google,5,2021-10-22 15:16:23,MANTAP BANGET;;;;;;;
Pengguna Google,5,2021-10-22 15:11:58,Oke;;;;;;;
Pengguna Google,5,2021-10-22 15:10:14,Mantap banyak potongan harganya;;;;;;;
Pengguna Google,5,2021-10-22 15:10:08,nice;;;;;;;
Pengguna Google,5,2021-10-22 15:09:22,keren pisaaan 🤩;;;;;;;
Pengguna Google,1,2021-10-22 15:07:46,Iklan free product hanya untuk pengguna Baru JANGAN DIIKLANKAN pada penggunaan lama......!!!!;;;;;;;
Pengguna Google,5,2021-10-22 15:07:37,sangat bagus;;;;;;;
